time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-01-11T18:49:50.690,41.8069,-126.5622,10.64,2.5,ml,,258,1.787,1.06,us,usc000tibq,2015-04-10T18:56:36.040,"189km WSW of Gold Beach, Oregon",earthquake,9.6,10.3,0.071,26,reviewed,us,us
2015-02-12T14:09:08.630,41.3941,-126.9719,11.04,2.8,ml,,263,2.501,1.46,us,usb000tqa7,2015-05-11T23:20:09.040,"234km W of Crescent City, California",earthquake,10,10.1,0.091,16,reviewed,us,us
2015-02-26T16:13:31.700,41.792,-126.7413,13.4,4,mb,,236,1.921,1.77,us,usc000ttcu,2015-05-19T00:28:44.040,"203km WSW of Gold Beach, Oregon",earthquake,10.2,8.8,0.196,8,reviewed,us,us
2015-02-26T17:45:28.810,41.6995,-126.8291,10.64,2.5,ml,,224,2.008,0.23,us,usc000tuls,2015-05-19T00:28:44.040,"214km W of Brookings, Oregon",earthquake,12.2,5.1,0.085,18,reviewed,us,us
2015-03-04T13:51:38.380,40.6706,-127.0117,11.67,3,md,,260,2.27,0.84,us,usc000tuxi,2017-02-07T08:52:54.581,"232km W of Ferndale, California",earthquake,9.3,9.8,0.113,13,reviewed,us,nc
2015-03-17T14:00:35.570,41.8449,-126.1981,10.45,3.1,md,,283,1.514,0.43,us,us10001q2p,2017-02-07T10:49:57.626,"159km WSW of Gold Beach, Oregon",earthquake,7.4,10.6,0.089,12,reviewed,us,nc
2015-04-10T07:04:24.330,41.7687,-126.5961,10,2.5,ml,,240,1.821,0.87,us,us200025jr,2015-06-22T23:18:55.040,"193km WSW of Gold Beach, Oregon",earthquake,9.4,2,0.059,38,reviewed,us,us
2015-05-03T15:29:13.520,40.5337,-127.2254,11.24,3.3,ml,,198,2.447,1.04,us,us20002azy,2017-02-07T17:59:49.318,"250km W of Ferndale, California",earthquake,10.7,4.8,,,reviewed,us,nc
2015-08-13T18:27:23.390,41.3844,-126.9374,10,3.8,mb,,220,2.189,1.39,us,us100035sx,2015-11-17T00:13:25.040,"231km W of Crescent City, California",earthquake,10.1,2,0.207,6,reviewed,us,us
2015-08-13T18:48:48.950,41.2922,-127.3103,10,4.5,mb,,174,2.484,1.37,us,us1000321k,2015-11-17T00:13:26.040,"264km W of Crescent City, California",earthquake,8.2,1.3,0.063,73,reviewed,us,us
2015-08-14T06:41:31.900,41.2821,-127.1043,10,4.4,mb,,207,2.345,1.04,us,us10003271,2017-02-08T07:41:12.715,"247km WSW of Crescent City, California",earthquake,8.7,1.9,0.112,23,reviewed,us,us
2015-08-22T12:33:54.560,40.6404,-127.2633,14.55,4.4,mb,,205,2.4,0.96,us,us10003472,2017-02-08T08:42:44.602,"253km W of Ferndale, California",earthquake,9.3,7.8,0.148,13,reviewed,us,us
2015-09-24T18:42:05.770,41.7291,-126.6908,10,2.7,ml,,245,2.096,0.93,us,us10003lf6,2015-12-28T23:08:38.040,"202km W of Brookings, Oregon",earthquake,3.7,2,0.069,28,reviewed,us,us
2015-10-15T01:15:12.710,40.6453,-127.2007,11.91,3.1,md,,267,2.354,0.83,us,us10003pam,2017-02-08T13:21:54.633,"248km W of Ferndale, California",earthquake,9.5,9.5,0.137,16,reviewed,us,nc
2015-10-22T18:35:49.010,42.3911667,-126.9261667,3.82,2.57,md,14,306,2.337,0.83,uw,uw61082062,2016-07-22T19:59:17.000,off the coast of Oregon,earthquake,7.37,31.61,0.011,5,reviewed,uw,uw
2015-10-23T16:52:42.690,40.8723333,-126.9433333,2.68,2.96,md,15,316,2.096,0.18,nc,nc72542575,2017-02-08T14:54:35.991,"228km W of Ferndale, California",earthquake,2.4,31.61,0.087,10,reviewed,nc,nc
2016-01-09T13:44:32.570,42.291,-126.913,3.99,2.58,md,12,319,1.996,0.62,uw,uw61117876,2016-07-22T20:01:55.290,off the coast of Oregon,earthquake,7,31.61,0.087,5,reviewed,uw,uw
2016-01-25T17:11:14.600,40.7065,-126.7482,10,2.9,ml,,259,2.022,0.95,us,us20004uja,2017-02-09T20:58:03.124,"210km W of Ferndale, California",earthquake,5.6,2,0.05,52,reviewed,us,us
